strategy_id,position_size,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,id,created_at,updated_at,symbol,strategy_name,expiry_date,direction,active,personal_acc,parameter_5,value_5
SMA_CROSSOVER_AVAX,0.7,slowLength,35,fastLength,30,atr_period,20,stop_range,2,8,2024-01-11 15:10:00.260566-05,2024-01-11 15:10:00.260566-05,AVAX,SMA_CROSSOVER,2024-07-13 01:00:00-04,long,t,,,
BTC_FEAR_GREED_INDEX_MOMENTUM_AVAX,0.66,slowLength,60,fastLength,35,atr_period,20,stop_range,2,4,2024-01-11 14:49:42.562151-05,2024-01-19 01:30:45.356248-05,AVAX,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-07-13 01:00:00-04,long,t,,,
BTC_SOPR_MOMENTUM_BTC,0.81,slowLength,20,fastLength,15,atr_period,5,stop_range,2,49,2024-01-31 21:06:15.62217-05,2024-01-31 21:06:15.62217-05,BTC,BTC_SOPR_MOMENTUM,2024-02-02 00:00:00-05,long,t,,,
BTC_SOPR_MOMENTUM_SOL,1,slowLength,75,fastLength,15,atr_period,10,stop_range,2,50,2024-01-31 21:17:01.412195-05,2024-01-31 21:17:01.412195-05,SOL,BTC_SOPR_MOMENTUM,2024-04-10 01:00:00-04,long,t,,,
BTC_SOPR_MOMENTUM_ADA,0.84,slowLength,20,fastLength,15,atr_period,5,stop_range,2,51,2024-01-31 21:29:25.305-05,2024-01-31 21:29:25.305-05,ADA,BTC_SOPR_MOMENTUM,2024-11-19 00:00:00-05,long,t,,,
BTC_FEAR_GREED_INDEX_MOMENTUM_FXS,1,slowLength,90,fastLength,5,atr_period,20,stop_range,2,2,2024-01-11 14:03:08.914123-05,2024-01-30 16:54:47.696079-05,FXS,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-12-27 00:00:00-05,long,t,t,,
BTC_FEAR_GREED_INDEX_MOMENTUM_BTC,0.61,slowLength,60,fastLength,50,atr_period,15,stop_range,3,1,2024-01-09 02:27:39.528212-05,2024-01-30 16:55:50.513249-05,BTC,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-02-02 00:00:00-05,long,t,,,
BTC_SOPR_MOMENTUM_SHORT_FLOW,1,slowLength,55,fastLength,25,atr_period,20,stop_range,2,54,2024-02-01 01:16:57.907923-05,2024-02-01 01:16:57.907923-05,FLOW,BTC_SOPR_MOMENTUM_SHORT,2025-01-27 00:00:00-05,short,t,t,,
BTC_SOPR_MOMENTUM_SHORT_EGLD,0.83,slowLength,65,fastLength,25,atr_period,25,stop_range,2,55,2024-02-01 01:19:06.427659-05,2024-02-01 01:19:06.427659-05,EGLD,BTC_SOPR_MOMENTUM_SHORT,2024-09-04 01:00:00-04,short,t,,,
BTC_SOPR_MOMENTUM_SHORT_AVAX,0.84,slowLength,60,fastLength,55,atr_period,10,stop_range,4,56,2024-02-01 01:22:37.375366-05,2024-02-01 01:22:37.375366-05,AVAX,BTC_SOPR_MOMENTUM_SHORT,2024-07-13 01:00:00-04,short,t,,,
BTC_FEAR_GREED_INDEX_MOMENTUM_SHORT_FLOW,1,slowLength,75,fastLength,35,atr_period,20,stop_range,2,47,2024-01-31 12:02:42.478006-05,2024-01-31 12:02:42.478006-05,FLOW,BTC_FEAR_GREED_INDEX_MOMENTUM_SHORT,2025-01-27 00:00:00-05,short,t,t,,
BOLL_BAND_REVERSION_WEMIX,0.62,period,15,kstd,2.75,atr_period,5,stop_range,2,34,2024-01-27 02:23:51.565406-05,2024-01-27 02:23:51.565406-05,WEMIX,BOLL_BAND_REVERSION,2024-10-29 01:00:00-04,long,t,t,,
SMA_CROSSOVER_SHORT_FLOW,1,slowLength,70,fastLength,20,atr_period,5,stop_range,2,48,2024-01-31 12:27:47.610158-05,2024-01-31 12:27:47.610158-05,FLOW,SMA_CROSSOVER_SHORT,2025-01-27 00:00:00-05,short,t,t,,
SMA_CROSSOVER_SHORT_4H_GMX,0.48,slowLength,90,fastLength,85,atr_period,15,stop_range,4,97,2024-02-05 19:06:18.271219-05,2024-02-05 19:06:18.271219-05,GMX,SMA_CROSSOVER_SHORT_4H,,short,t,,,
