strategy_id,position_size,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,id,created_at,updated_at,symbol,strategy_name,direction,active,personal_acc,parameter_5,value_5,backtest_period,wfe,sr,l_sr,b_sr,win_rate,trd_num,sim_ret,lev_ret,bnh_ret,sim_mdd,lev_mdd,bnh_mdd,lev_add,bnh_add,expos,leverage,timeframe,is_lev,sim_add
BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D_FTM,0.61,,,,,,,,,827,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,FTM,BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D,LONG,t,,,,20230413,-0.41,1.54,0,1.16,20,10,79.4,0,75.4,-27.1,0,-67.06,0,-19.12,33.7,1,1D,,-9.25
MACD_CROSSOVER_4H_ETC,0.62,slowLength,45,fastLength,40,atr_period,40,stop_range,2,153,2024-02-09 20:21:08.172886-05,2024-02-09 20:21:08.172886-05,ETC,MACD_CROSSOVER_4H,long,t,,signal_length,5,,,,,,,,,,,,,,,,,,,,
BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D_FET,0.78,,,,,,,,,829,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,FET,BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D,LONG,t,,,,20220413,0.01,1.68,0,1.44,42.9,14,629.1,0,618.1,-42.3,0,-84.22,0,-22.76,38.63,1,1D,,-10.61
BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D_THETA,0.63,,,,,,,,,830,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,THETA,BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D,LONG,t,,,,20230413,0.59,2.14,0,1.57,100,2,136.4,0,166.9,-22.8,0,-53.85,0,-20.53,26.3,1,1D,,-6.87
BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D_AVAX,0.6,,,,,,,,,831,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,AVAX,BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D,LONG,t,,,,20230413,-0.71,1.6,0,1.49,100,3,26.2,0,143.6,-6.8,0,-58.6,0,-14.6,14.52,1,1D,,-3.14
BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D_SOL,0.71,,,,,,,,,832,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,SOL,BTC_FEAR_GREED_INDEX_MOMENTUM_LONG_1D,LONG,t,,,,20230413,1.37,3.58,0,2.63,80,5,367,0,612.6,-15.1,0,-42.88,0,-11.09,41.1,1,1D,,-4.15
BOLL_BAND_REVERSION_LONG_1D_LDO,0.69,,,,,,,,,833,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,LDO,BOLL_BAND_REVERSION_LONG_1D,LONG,t,,,,20230413,-0.03,1.72,0,0.45,70.4,27,58.7,0,2.8,-9.9,0,-44.9,0,-22.98,29.32,1,1D,,-3.37
K_CHANNEL_REVERSION_LONG_1D_BSV,1,,,,,,,,,834,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,BSV,K_CHANNEL_REVERSION_LONG_1D,LONG,t,,,,20220413,-0.25,1.34,0,0.5,87.5,8,136.8,0,6.9,-23.2,0,-72.37,0,-32.4,11.1,1,1D,,-6.06
MACD_CROSSOVER_4H_GMX,0.43,slowLength,30,fastLength,20,atr_period,40,stop_range,3,165,2024-02-09 20:21:08.172886-05,2024-02-09 20:21:08.172886-05,GMX,MACD_CROSSOVER_4H,long,t,,signal_length,15,,,,,,,,,,,,,,,,,,,,
MACD_CROSSOVER_4H_OP,0.45,slowLength,60,fastLength,35,atr_period,15,stop_range,3,166,2024-02-09 20:21:08.172886-05,2024-02-09 20:21:08.172886-05,OP,MACD_CROSSOVER_4H,long,t,,signal_length,5,,,,,,,,,,,,,,,,,,,,
BOLL_BAND_REVERSION_SHORT_1D_CFX,0.8,,,,,,,,,835,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,CFX,BOLL_BAND_REVERSION_SHORT_1D,SHORT,t,,,,20230413,0.18,1.2,0,0.45,100,1,11.3,0,-10.5,-3.3,0,-73.12,0,-25.69,1.92,1,1D,,-1.41
SMA_CROSSOVER_SHORT_1D_EOS,0.22,,,,,,,,,836,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,EOS,SMA_CROSSOVER_SHORT_1D,SHORT,t,,,,20220413,0.48,1.38,0,-0.07,75,4,14.7,0,-52.6,-2.1,0,-80.67,0,-44.02,13.84,1,1D,,-0.81
SMA_CROSSOVER_SHORT_1D_FLOW,0.77,,,,,,,,,837,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,FLOW,SMA_CROSSOVER_SHORT_1D,SHORT,t,,,,20230413,-0.43,2.05,0,0.59,50,4,46.6,0,16.3,-13.5,0,-62.64,0,-17.08,32.05,1,1D,,-2.58
SMA_CROSSOVER_SHORT_1D_AR,0.83,,,,,,,,,838,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,AR,SMA_CROSSOVER_SHORT_1D,SHORT,t,,,,20230413,-0.79,1.28,0,1.62,100,3,36.1,0,240.6,-9.4,0,-59.82,0,-18.7,33.42,1,1D,,-3.87
SMA_CROSSOVER_SHORT_1D_ADA,0.59,,,,,,,,,839,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,ADA,SMA_CROSSOVER_SHORT_1D,SHORT,t,,,,20230413,1.16,2.14,0,0.76,100,4,15.1,0,37.6,-1.4,0,-46.64,0,-20.3,7.67,1,1D,,-0.8
BTC_FEAR_GREED_INDEX_MOMENTUM_SHORT_1D_FLOW,1,,,,,,,,,840,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,FLOW,BTC_FEAR_GREED_INDEX_MOMENTUM_SHORT_1D,SHORT,t,,,,20230413,-1.34,1.76,0,0.55,75,4,57.2,0,17.6,-12.1,0,-62.64,0,-17.08,25.21,1,1D,,-3.8
SMA_CROSSOVER_LONG_1D_BTC,0.59,,,,,,,,,286,2024-03-09 06:58:58.992834-05,2024-03-09 06:58:58.992834-05,BTC,SMA_CROSSOVER_LONG_1D,LONG,t,,,,20220308,-0.2,1.31,1.07,0.33,50,10,79,197.2,72.3,-15.5,-30.56,-66.74,-6.87,0,41.23,2.17,1D,f,
SMA_CROSSOVER_LONG_1D_AR,0.33,,,,,,,,,287,2024-03-09 06:58:58.992834-05,2024-03-09 06:58:58.992834-05,AR,SMA_CROSSOVER_LONG_1D,LONG,t,,,,20230308,0.52,1.3,1.03,0.52,44.4,9,97.5,188.5,372.4,-11.1,-17.96,-60.1,-6.13,0,37.26,1.82,1D,f,
BOLL_BAND_MOMENTUM_LONG_1D_NEAR,0.44,,,,,,,,,269,2024-03-09 06:58:58.992834-05,2024-03-09 06:58:58.992834-05,NEAR,BOLL_BAND_MOMENTUM_LONG_1D,LONG,t,,,,20230309,0.44,1.3,1.18,0.61,40,10,92.3,127.5,217.6,-13,-15.82,-57.95,-5.4,0,30.14,1.3,1D,f,
STOCH_OSCILL_MOMENTUM_LONG_1D_VET,0.5,,,,,,,,,808,2024-04-13 01:20:24.009306-04,2024-04-13 01:20:24.009306-04,VET,STOCH_OSCILL_MOMENTUM_LONG_1D,LONG,t,t,,,20230412,0.48,2.2,0,1.19,50,8,78.7,0,92.5,-9.4,0,-44.64,0,-13.13,41.92,1,1D,,-3.58
